ID	genomic_species ID	subspecies	plot_subspecies	country	location	AbbrevMap	lat	long	lon.utm	lat.utm	sex	year	tissue	coverage	samtools.coverage	nuDNA coverage	nuDNA coverage st.dev	total_sites	homozygous_sites	proportion_heterozygous
EB112	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	M	2019	Muscle	5x	223027,00	223027,00	286596,00	59252698,00	59194047.92	0.0009908104203
EB113	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	F	2019	Muscle	5x	256737,00	256737,00	296596,00	86783399,00	86701764.75	0.0009415523341
EB114	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	M	2019	Muscle	5x	360032,00	9306,00	746911,00	852073937,00	851098399,00	0.001146210608
EB115	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	M	2019	Muscle	5x	420695,00	420695,00	403757,00	318476463,00	318145603.1	0.001039963667
EB116	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	F	2019	Muscle	5x	372308,00	696671,00	63723,00	684814666,00	684069057.9	0.001089960239
EB117	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	M	2019	Muscle	5x	366747,00	138337,00	939299,00	988895894,00	987725771.2	0.001184663664
EB118	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	M	2019	Muscle	5x	326404,00	705292,00	664574,00	685650076,00	684888111.4	0.001112538773
EB119	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	F	2019	Muscle	5x	254978,00	254978,00	296741,00	85975654,00	85894861.83	0.000940593706
EB120	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	F	2019	Muscle	5x	334917,00	81409,00	666372,00	795526566,00	794645143.2	0.001109202995
EB122	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	M	2019	Muscle	10x	298461,00	298461,00	32657,00	134890490,00	134757659,00	0.0009857028557
EB123	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	M	2019	Muscle	10x	4072134,00	406291,00	417551,00	298625374,00	298317501.1	0.00103203098
EB124	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	M	2019	Muscle	10x	342813,00	195255,00	110191,00	1059584997,00	1058289255,00	0.001224374276
EB125	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	M	2019	Muscle	10x	3984487,00	397437,00	446957,00	271294512,00	271020207.9	0.001012116596
EB126	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	M	2019	Muscle	10x	36549,00	101808,00	781711,00	904229026,00	903191190.2	0.001149076586
EB127	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	F	2019	Muscle	10x	422695,00	422695,00	397648,00	322618977,00	322283394.6	0.001041264908
EB128	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	F	2019	Muscle	30x	333707,00	333707,00	366156,00	186592430,00	186399501.7	0.001035025881
EB129	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	F	2019	Muscle	10x	409113,00	408293,00	46823,00	293218945,00	292904478,00	0.001073616212
EB130	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	M	2019	Muscle	10x	395956,00	395956,00	380154,00	277543584,00	277260476.5	0.001021088465
EB132	E. barbatus	Atlantic	E. b. barbatus	Canada	Arviat	AR	61,11	-94,05	-3196595.5	226532.8	F	2019	Muscle	5x	472047,00	921834,00	783413,00	848385518,00	847498454.3	0.001046684764
